"title";"ad_link";"img_link";"price";"price_currency";"transmission";"production_date";"fuel_type";"color";"brand"
"BMW 5 серия  VI (F10/F11/F07) 530d";"https://auto.ru/cars/used/sale/bmw/5er/1096057738-720ea38a/";"https://avatars.mds.yandex.net/get-autoru-vos/2196740/df6e95bc91a34be35fc9e9763f2b9919/320x240";1045000;"RUB";"автоматическая";2010;"дизель";"серый";"BMW"
"Skoda Octavia II (A5) Рестайлинг";"https://auto.ru/cars/used/sale/skoda/octavia/1099320770-08611706/";"https://avatars.mds.yandex.net/get-autoru-vos/2056324/91c0633fc821f36f7c4b7cdd274b296d/320x240";499999;"RUB";"роботизированная";2012;"бензин";"бежевый";"SKODA"
"Nissan Terrano III (D10)";"https://auto.ru/cars/used/sale/nissan/terrano/1099277676-58e910ac/";"https://avatars.mds.yandex.net/get-autoru-vos/2051006/11cb769197137b40f17a2ed0f1d8e88d/320x240";1148000;"RUB";"автоматическая";2019;"бензин";"серый";"NISSAN"
"Nissan Qashqai+2 I Рестайлинг";"https://auto.ru/cars/used/sale/nissan/qashqai_plus_2/1099206762-38ff74be/";"https://avatars.mds.yandex.net/get-autoru-vos/1590523/bea34e73476682b81858804eea0fcf85/320x240";638000;"RUB";"механическая";2010;"бензин";"серебристый";"NISSAN"
"Nissan Almera III (G15)";"https://auto.ru/cars/used/sale/nissan/almera/1099180412-a98b67f7/";"https://avatars.mds.yandex.net/get-autoru-vos/2090212/6e8771a3ba4f699eb9cc00b84405e905/320x240";429000;"RUB";"механическая";2018;"бензин";"белый";"NISSAN"
"Nissan Almera III (G15)";"https://auto.ru/cars/used/sale/nissan/almera/1099179832-925e3e40/";"https://avatars.mds.yandex.net/get-autoru-vos/2179909/c50bb544916e12ec000d8b9de318f2d8/320x240";419000;"RUB";"механическая";2018;"бензин";"белый";"NISSAN"
"Nissan Terrano III (D10)";"https://auto.ru/cars/used/sale/nissan/terrano/1098153052-0225456f/";"https://avatars.mds.yandex.net/get-autoru-vos/1907070/3f4520dac058336184990cc4bb330f35/320x240";658000;"RUB";"механическая";2016;"бензин";"серый";"NISSAN"
"Ford Mondeo IV Рестайлинг";"https://auto.ru/cars/used/sale/ford/mondeo/1098486334-a62427f3/";"https://avatars.mds.yandex.net/get-autoru-vos/2164317/b6b81d6349888a615bf8e8b2ef9875a6/320x240";595000;"RUB";"автоматическая";2014;"бензин";"чёрный";"FORD"
"Ford Explorer V Рестайлинг";"https://auto.ru/cars/used/sale/ford/explorer/1098329970-8cef6653/";"https://avatars.mds.yandex.net/get-autoru-vos/2160843/a94da65f8942f0c583e305160922294a/320x240";1769000;"RUB";"автоматическая";2017;"бензин";"белый";"FORD"
"Ford Focus III";"https://auto.ru/cars/used/sale/ford/focus/1097544904-322e602a/";"https://avatars.mds.yandex.net/get-autoru-vos/1711983/699f8acd8c1b44e3ee541cb48cf004b0/320x240";325000;"RUB";"механическая";2013;"бензин";"белый";"FORD"
"Ford Focus III";"https://auto.ru/cars/used/sale/ford/focus/1097416940-693b0f0b/";"https://avatars.mds.yandex.net/get-autoru-vos/2159933/ef6b318a522fa1749964189984f9b9a9/320x240";389000;"RUB";"роботизированная";2014;"бензин";"белый";"FORD"
"Volkswagen Transporter T5 Long";"https://auto.ru/cars/used/sale/volkswagen/transporter/1099489230-583ba413/";"https://avatars.mds.yandex.net/get-autoru-vos/2163817/29e136965a867d334f9adc95ce009d26/320x240";700000;"RUB";"механическая";2009;"дизель";"синий";"VOLKSWAGEN"
"Mercedes-Benz GL-Класс  II (X166) 400";"https://auto.ru/cars/used/sale/mercedes/gl_klasse/1099474920-3a1f4223/";"https://avatars.mds.yandex.net/get-autoru-vos/1655347/de4f2e343557842bc73e0d975afd696e/320x240";1945000;"RUB";"автоматическая";2014;"бензин";"чёрный";"MERCEDES"
"Mazda CX-7 I";"https://auto.ru/cars/used/sale/mazda/cx_7/1099489890-0ef8c987/";"https://avatars.mds.yandex.net/get-autoru-vos/2146198/15207730980d962433e712cd7271c4fb/320x240";299000;"RUB";"автоматическая";2008;"бензин";"пурпурный";"MAZDA"
"Skoda Octavia II (A5) Рестайлинг";"https://auto.ru/cars/used/sale/skoda/octavia/1099484332-613ae20d/";"https://avatars.mds.yandex.net/get-autoru-vos/1997083/b730a44cb07a7b0089b127ba23e960ec/320x240";385000;"RUB";"автоматическая";2010;"бензин";"серый";"SKODA"
"Volkswagen Golf VI";"https://auto.ru/cars/used/sale/volkswagen/golf/1098874272-7f5b3523/";"https://avatars.mds.yandex.net/get-autoru-vos/2170045/73e35bdfe45994b5cf181a23f604ca11/320x240";475000;"RUB";"роботизированная";2011;"бензин";"белый";"VOLKSWAGEN"
"Land Rover Discovery Sport I";"https://auto.ru/cars/used/sale/land_rover/discovery_sport/1099318676-f5e1263f/";"https://avatars.mds.yandex.net/get-autoru-vos/2164639/eb1ac8e25e4ea7e3e45ef30888d81750/320x240";0;"RUB";"автоматическая";2016;"бензин";"чёрный";"LAND_ROVER"
"Hyundai Solaris I";"https://auto.ru/cars/used/sale/hyundai/solaris/1098867992-f307c006/";"https://avatars.mds.yandex.net/get-autoru-vos/2191938/007c51304e364f3bd040a4f42f063147/320x240";350000;"RUB";"механическая";2011;"бензин";"чёрный";"HYUNDAI"
"Ford Focus II";"https://auto.ru/cars/used/sale/ford/focus/1098838532-9849d231/";"https://avatars.mds.yandex.net/get-autoru-vos/1976050/7a1c9e79ed04a0daca8931992c135e8d/320x240";287000;"RUB";"автоматическая";2007;"бензин";"чёрный";"FORD"
"LADA (ВАЗ) Kalina II";"https://auto.ru/cars/used/sale/vaz/kalina/1098826508-6afafb59/";"https://avatars.mds.yandex.net/get-autoru-vos/2162278/5a6d03de00785e6aacbfc985e4b7290f/320x240";333000;"RUB";"механическая";2015;"бензин";"серебристый";"VAZ"
"Chevrolet Niva I Рестайлинг";"https://auto.ru/cars/used/sale/chevrolet/niva/1098813972-58ce0aae/";"https://avatars.mds.yandex.net/get-autoru-vos/2181224/9ea91a378c158e49521191c32b0d3823/320x240";305000;"RUB";"механическая";2010;"бензин";"серебристый";"CHEVROLET"
"Volkswagen Polo V";"https://auto.ru/cars/used/sale/volkswagen/polo/1098681826-3ce0b856/";"https://avatars.mds.yandex.net/get-autoru-vos/2106781/72a68a21e69be631049e25545e169b7e/320x240";383000;"RUB";"автоматическая";2011;"бензин";"синий";"VOLKSWAGEN"
"Ford Mondeo IV";"https://auto.ru/cars/used/sale/ford/mondeo/1098525074-f9e36149/";"https://avatars.mds.yandex.net/get-autoru-vos/1699199/ca0b44e8e28bd92f39c8801413eb7124/320x240";399000;"RUB";"механическая";2010;"бензин";"чёрный";"FORD"
"Ford Fiesta Mk5";"https://auto.ru/cars/used/sale/ford/fiesta/1098437972-99c1a6cc/";"https://avatars.mds.yandex.net/get-autoru-vos/2095416/b9936595da8257227a7257e11f8898e1/320x240";262000;"RUB";"автоматическая";2006;"бензин";"красный";"FORD"
"Ford Mondeo IV";"https://auto.ru/cars/used/sale/ford/mondeo/1098270234-a878e4c3/";"https://avatars.mds.yandex.net/get-autoru-vos/2174570/e30362e767823c0a83f13e3942b46e69/320x240";399000;"RUB";"автоматическая";2008;"дизель";"чёрный";"FORD"
"Volkswagen Polo V";"https://auto.ru/cars/used/sale/volkswagen/polo/1096386030-98f0bae0/";"https://avatars.mds.yandex.net/get-autoru-vos/1996369/a2d9005430fa78f31b276a51b4a011ef/320x240";373000;"RUB";"автоматическая";2012;"бензин";"чёрный";"VOLKSWAGEN"
"Peugeot 107 I Рестайлинг";"https://auto.ru/cars/used/sale/peugeot/107/1099483694-979574ba/";"https://avatars.mds.yandex.net/get-autoru-vos/2023653/540de6b79e3c72967f7841d458ce0bd2/320x240";430000;"RUB";"роботизированная";2011;"бензин";"белый";"PEUGEOT"
"Opel Corsa D Рестайлинг II";"https://auto.ru/cars/used/sale/opel/corsa/1099463400-4775516f/";"https://avatars.mds.yandex.net/get-autoru-vos/1597981/a6cd090b4d0478f984cb4127ef35bc7a/320x240";498700;"RUB";"автоматическая";2012;"бензин";"чёрный";"OPEL"
"Opel Corsa D";"https://auto.ru/cars/used/sale/opel/corsa/1099463314-542b571a/";"https://avatars.mds.yandex.net/get-autoru-vos/1582741/e107c62e7080a2c46e70cb2b3da3c321/320x240";189000;"RUB";"роботизированная";2007;"бензин";"зелёный";"OPEL"
"Chevrolet Cruze I";"https://auto.ru/cars/used/sale/chevrolet/cruze/1099460960-b2764633/";"https://avatars.mds.yandex.net/get-autoru-vos/1960984/7439d3efa07cac655bd8d64ce1dbd725/320x240";399000;"RUB";"автоматическая";2011;"бензин";"бежевый";"CHEVROLET"
"Volkswagen Polo V Рестайлинг";"https://auto.ru/cars/used/sale/volkswagen/polo/1099484060-0bab779b/";"https://avatars.mds.yandex.net/get-autoru-vos/2176395/146214a986127147cf8f8dc61b43301f/320x240";620000;"RUB";"механическая";2016;"бензин";"чёрный";"VOLKSWAGEN"
"Volkswagen Tiguan I Рестайлинг";"https://auto.ru/cars/used/sale/volkswagen/tiguan/1099478788-887169bd/";"https://avatars.mds.yandex.net/get-autoru-vos/2057082/7829f42bb9509a6f6760ada1948b745d/320x240";825000;"RUB";"автоматическая";2013;"бензин";"чёрный";"VOLKSWAGEN"
"Audi Q7 I (4L)";"https://auto.ru/cars/used/sale/audi/q7/1099478468-e6d026a7/";"https://avatars.mds.yandex.net/get-autoru-vos/2164416/4fa12effaa2d308b45418ea78e07bd87/320x240";920000;"RUB";"автоматическая";2008;"дизель";"чёрный";"AUDI"
"Ford Mondeo III Рестайлинг";"https://auto.ru/cars/used/sale/ford/mondeo/1099464116-cc12f664/";"https://avatars.mds.yandex.net/get-autoru-vos/1991541/08a1968b30e72cc0f59af6835d2bf98e/320x240";489876;"RUB";"механическая";2007;"бензин";"чёрный";"FORD"
"Chevrolet Cruze I Рестайлинг";"https://auto.ru/cars/used/sale/chevrolet/cruze/1099462946-0d07209b/";"https://avatars.mds.yandex.net/get-autoru-vos/2176986/fc99eb732a92ed547a9d77e15892ba34/320x240";430000;"RUB";"автоматическая";2013;"бензин";"коричневый";"CHEVROLET"
"Peugeot 3008 I";"https://auto.ru/cars/used/sale/peugeot/3008/1099462174-9a67cf43/";"https://avatars.mds.yandex.net/get-autoru-vos/2146198/daadc75f054b03e407524e05f553ce6a/320x240";435000;"RUB";"автоматическая";2012;"бензин";"белый";"PEUGEOT"
"Skoda Yeti I";"https://auto.ru/cars/used/sale/skoda/yeti/1099460852-89e48632/";"https://avatars.mds.yandex.net/get-autoru-vos/1887810/4313d51e89427acdaf5c43b1f65ba3d4/320x240";378000;"RUB";"роботизированная";2011;"бензин";"белый";"SKODA"
"Mitsubishi Lancer IX Рестайлинг";"https://auto.ru/cars/used/sale/mitsubishi/lancer/1099455356-ff2842d1/";"https://avatars.mds.yandex.net/get-autoru-vos/2161514/1d45b99b896be8ef2d6b7bead12df028/320x240";445000;"RUB";"автоматическая";2006;"бензин";"синий";"MITSUBISHI"
"Opel Astra H Рестайлинг";"https://auto.ru/cars/used/sale/opel/astra/1099454706-f3e460ae/";"https://avatars.mds.yandex.net/get-autoru-vos/2162002/370001df1f2b3b2e4433044fc4cda083/320x240";355000;"RUB";"роботизированная";2012;"бензин";"белый";"OPEL"
"Skoda Rapid I";"https://auto.ru/cars/used/sale/skoda/rapid/1099340418-7999a90b/";"https://avatars.mds.yandex.net/get-autoru-vos/2144487/9d6425263382d69db1a46d27b2d3f6e2/320x240";489000;"RUB";"механическая";2016;"бензин";"синий";"SKODA"
"Skoda Octavia II (A5)";"https://auto.ru/cars/used/sale/skoda/octavia/1099490018-e7583500/";"https://avatars.mds.yandex.net/get-autoru-vos/1961828/6a393638af730fd63478a92a6ee699ad/320x240";199000;"RUB";"механическая";2006;"бензин";"серый";"SKODA"
